time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2303.300774	29.188883	0.015849	1.841656	86
2304.361073	26.420889	0.015902	1.661450	87
2305.384658	29.177130	0.015895	1.835666	88
2306.448275	29.478674	0.015890	1.855117	89
2307.472461	30.146656	0.015907	1.895237	90
2308.534157	26.511387	0.015884	1.669071	91
2309.560406	32.373070	0.015896	2.036504	92
2310.618663	32.076244	0.015872	2.020875	93
2311.644857	33.855492	0.015884	2.131456	94
2312.705868	34.835213	0.015908	2.189852	95
2313.733685	36.756069	0.015849	2.319188	96
2314.790225	38.158379	0.015891	2.401272	97
2315.822375	35.552494	0.015895	2.236705	98
2316.876342	28.093235	0.015876	1.769579	99
2317.906196	39.200535	0.015900	2.465482	100
2318.966057	41.048298	0.015853	2.589378	101
2319.996121	38.693592	0.015880	2.436639	102
2321.053702	40.752022	0.015939	2.556814	103
2322.078233	42.158611	0.015861	2.657923	104
2323.139299	43.054089	0.015869	2.713095	105
2324.164299	44.001408	0.015858	2.774780	106
2325.228547	44.366314	0.015856	2.798121	107
2326.252402	44.504745	0.015823	2.812589	108
2327.312987	45.123631	0.015874	2.842614	109
2328.339669	46.044758	0.015873	2.900836	110
2329.396437	46.774906	0.015840	2.952959	111
2330.429669	47.409519	0.015873	2.986836	112
2331.479898	47.828987	0.015844	3.018667	113
2332.521050	48.784309	0.015875	3.073066	114
2333.564331	48.728584	0.015851	3.074180	115
2334.610786	51.397999	0.015811	3.250730	116
2335.646043	51.059086	0.015836	3.224233	117
2336.699428	52.677521	0.015835	3.326622	118
2337.730752	52.729797	0.015841	3.328634	119
2338.787321	55.324566	0.015851	3.490309	120
2339.819252	51.638092	0.015832	3.261649	121
2340.867206	62.458721	0.015818	3.948672	122
2341.904956	55.247864	0.015839	3.488178	123
2342.958897	56.273071	0.015845	3.551491	124
2343.994735	57.907528	0.015832	3.657662	125
2345.041921	58.260399	0.015767	3.695086	126
2346.086378	55.487129	0.015826	3.505985	127
2347.137746	44.964657	0.015810	2.843992	128
2348.175441	90.031502	0.015828	5.687974	129
2349.209763	61.183170	0.015837	3.863204	130
